0.2041	0.1049	0.2582	0.1591
0.6016	0.5498	0.6547	0.6030
0.7598	0.2139	0.8251	0.2792
0.6702	0.3534	0.7357	0.4188
0.0370	0.2651	0.0855	0.3136
0.9308	0.2723	0.9912	0.3327
0.3341	0.8763	0.3768	0.9190
0.0288	0.6148	0.0993	0.6853
0.4195	0.3430	0.4708	0.3943
0.0836	0.0425	0.1349	0.0938
0.0625	0.2646	0.1092	0.3113
0.9225	0.6725	0.9799	0.7300
0.3979	0.6505	0.4447	0.6973
0.9411	0.0795	1.0000	0.1383
0.8778	0.1809	0.9140	0.2171
0.3578	0.5790	0.3967	0.6179
0.4418	0.9679	0.4739	1.0000
0.2818	0.3742	0.3292	0.4216
0.5906	0.6023	0.6323	0.6439
0.8285	0.8981	0.8877	0.9573
0.9264	0.1136	0.9817	0.1690
0.2060	0.2938	0.2629	0.3507
0.0421	0.5901	0.0818	0.6297
0.4754	0.8975	0.5401	0.9622
0.2005	0.6097	0.2487	0.6579
0.4727	0.5013	0.5254	0.5539
0.5042	0.0000	0.5489	0.0447
0.5875	0.0628	0.6419	0.1172
0.8931	0.3649	0.9381	0.4100
0.0438	0.4969	0.0863	0.5394
0.1090	0.5800	0.1463	0.6173
0.3292	0.4078	0.3693	0.4479
0.8927	0.4690	0.9553	0.5317
0.5887	0.8591	0.6588	0.9292
0.0946	0.4070	0.1329	0.4453
0.9003	0.8958	0.9552	0.9506
0.4598	0.0984	0.5182	0.1569
0.2340	0.0528	0.2990	0.1179
0.5024	0.0000	0.5279	0.0255
0.0719	0.6552	0.1277	0.7111
0.2066	0.6560	0.2656	0.7149
0.5798	0.0468	0.6476	0.1146
0.0539	0.3840	0.1112	0.4413
0.9673	0.8769	1.0000	0.9096
0.8062	0.2722	0.8659	0.3319
0.2401	0.5031	0.3004	0.5634
0.6029	0.3305	0.6486	0.3762
0.3599	0.9244	0.4254	0.9900
0.0000	0.5210	0.0258	0.5469
0.7393	0.7587	0.8033	0.8227
0.8606	0.1875	0.9206	0.2476
0.0531	0.1676	0.1071	0.2216
0.5866	0.0950	0.6345	0.1429
0.0475	0.9005	0.1142	0.9672
0.1193	0.7669	0.1793	0.8269
0.6844	0.6045	0.7347	0.6548
0.7319	0.9666	0.7653	1.0000
0.7918	0.4344	0.8443	0.4870
0.8368	0.9163	0.8808	0.9603
0.2514	0.8373	0.2985	0.8843
0.5485	0.4389	0.5897	0.4800
0.4342	0.7963	0.4704	0.8325
0.6750	0.7681	0.7114	0.8045
0.6179	0.4303	0.6764	0.4888
0.3786	0.3347	0.4376	0.3937
0.8414	0.6071	0.8967	0.6623
0.0101	0.2042	0.0704	0.2645
0.4838	0.4840	0.5389	0.5391
0.9240	0.3192	0.9638	0.3591
0.2268	0.5149	0.2762	0.5643
0.9108	0.4993	0.9621	0.5506
0.0698	0.8810	0.1404	0.9516
0.0000	0.2645	0.0243	0.2887
0.5593	0.9303	0.5957	0.9667
0.8534	0.3471	0.9022	0.3959
0.0899	0.9510	0.1352	0.9963
0.0937	0.5831	0.1352	0.6246
0.4849	0.3788	0.5360	0.4299
0.1783	0.3779	0.2362	0.4358
0.6801	0.9200	0.7423	0.9821
0.5711	0.8686	0.6299	0.9275
0.8541	0.7603	0.8915	0.7977
0.9102	0.5081	0.9697	0.5676
0.2898	0.2889	0.3286	0.3277
0.3629	0.7384	0.4123	0.7878
0.1304	0.2113	0.1713	0.2522
0.0005	0.2253	0.0365	0.2612
0.0390	0.4316	0.0904	0.4830
0.0071	0.7593	0.0636	0.8158
0.6827	0.5437	0.7280	0.5890
0.9054	0.8559	0.9509	0.9014
